  7850.7     1280.2
                                      
  5334.7    -2807.7
                                      
  3604.2    -5618.1
                                      
  2505.2    -7406.4
                                      
  1246.8    -9450.3
                                      
   616.9   -10472.3
                                      
  -482.6   -12260.8
                                      
  5925.1     -704.7
                                      
  3723.3    -4281.5
                                      
  2622.1    -6070.0
                                      
  1365.4    -8114.0
                                      
   107.5   -10157.8
                                      
 -1465.5   -12712.6
                                      
  6357.5     1142.7
                                      
  4154.9    -2434.1
                                      
  2268.6    -5500.1
                                      
   381.9    -8565.9
                                      
  -561.9   -10098.8
                                      
 -1819.0   -12142.7
                                      
  6631.7     2734.7
                                      
  5059.7      179.7
                                      
  2543.6    -3908.1
                                      
   342.3    -7485.0
                                      
 -1545.1   -10550.8
                                      
 -2488.2   -12083.7
                                      
  6121.5     3049.0
                                      
  5177.1     1516.1
                                      
  2818.7    -2316.2
                                      
  -639.3    -7936.9
                                      
 -2054.6   -10236.3
                                      
  3566.7       42.2
                                      
   263.2    -5323.0
                                      
 -2252.4    -9410.9
                                      
 -3037.7   -10688.2
                                      
  3683.9     1378.6
                                      
  1168.2    -2709.1
                                      
    67.5    -4497.5
                                      
  -560.8    -5519.5
                                      
 -2134.4    -8074.4
                                      
 -3707.1   -10629.3
                                      
  3959.5     2970.7
                                      
  2230.1      160.2
                                      
   342.0    -2905.6
                                      
 -1072.5    -5205.0
                                      
 -1858.5    -6482.4
                                      
 -3587.4    -9292.8
                                      
 -4216.7   -10314.8
                                      
  3762.0     3796.1
                                      
  2190.8     1241.1
                                      
   618.7    -1313.8
                                      
  -482.1    -3102.1
                                      
 -1268.4    -4379.6
                                      
 -2370.3    -6167.9
                                      
 -3469.7    -7956.4
                                      
 -5041.9   -10511.2
                                      
  3095.3     3855.1
                                      
  1993.2     2066.7
                                      
  1049.7      533.8
                                      
  -363.8    -1765.6
                                      
 -1150.2    -3043.1
                                      
 -2094.3    -4576.1
                                      
 -3196.0    -6364.4
                                      
 -5082.2    -9430.3
                                      
  1797.4     2892.1
                                      
   -89.2     -173.7
                                      
 -1190.0    -1962.2
                                      
 -2606.2    -4261.6
                                      
 -5436.1    -8860.4
                                      
  1916.3     4228.5
                                      
   185.5     1418.2
                                      
 -1229.8     -881.1
                                      
 -2958.3    -3691.5
                                      
 -4689.4    -6502.0
                                      
 -5474.6    -7779.4
                                      
 -6419.2    -9312.3
                                      
  1089.4     4032.1
                                      
 -1425.8      -55.7
                                      
 -3312.4    -3121.6
                                      
 -4256.0    -4654.6
                                      
 -5199.3    -6187.4
                                      
 -6615.5    -8486.9
                                      
   737.2     4602.0
                                      
 -3038.4    -1529.7
                                      
 -5395.6    -5362.1
                                      
 -6654.1    -7405.9
                                      
 -7440.9    -8683.4
                                      
  -560.5     3639.0
                                      
 -3706.7    -1470.7
                                      
 -4964.3    -3514.6
                                      
 -5591.9    -4536.6
                                      
 -7321.9    -7347.0
                                      
 -8108.5    -8624.3
                                      
  -285.8     5231.1
                                      
 -1701.7     2931.7
                                      
 -2330.3     1909.7
                                      
 -3430.8      121.2
                                      
 -5160.6    -2689.1
                                      
 -6575.5    -4988.6
                                      
 -7991.5    -7287.9
                                      
  -796.4     5545.5
                                      
 -3941.2      435.7
                                      
 -6300.4    -3396.6
                                      
 -8186.1    -6462.5
                                      
  -521.6     7137.5
                                      
 -3351.2     2538.6
                                      
 -6810.7    -3082.1
                                      
 -8698.2    -6148.0
                                      
 -3547.5     3364.1
                                      
 -7794.4    -3534.1
                                      
 -9523.7    -6344.5
                                      
-10152.4    -7366.4
                                      
 -3901.9     3934.0
                                      
 -6890.0     -920.2
                                      
 -8146.9    -2964.1
                                      
 -8776.0    -3986.1
                                      
 -9878.1    -5774.4
                                      
 -4884.8     3482.1
                                      
 -8343.6    -2138.6
                                      
 -9917.2    -4693.6
                                      
 -5239.3     4052.1
                                      
 -9169.5    -2335.1
                                      
-10742.9    -4890.1
                                      
-11684.8    -6422.9
                                      
 -3233.8     8454.5
                                      
 -4018.8     7177.0
                                      
 -6220.2     3600.1
                                      
 -8423.3       23.3
                                      
 -9050.7     -998.7
                                      
-10309.0    -3042.6
                                      
-11566.6    -5086.5
                                      
-12197.0    -6108.5
                                      
 -4059.1     8257.9
                                      
 -6732.8     3914.6
                                      
 -9247.6     -173.2
                                      
